age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
30.0,unemployed,married,primary,no,1787.0,no,no,cellular,19,oct,79.0,1.0,-1.0,0.0,unknown,no
33.0,services,married,secondary,no,,yes,yes,cellular,11,may,220.0,1.0,,,failure,no
35.0,management,single,tertiary,no,1350.0,yes,no,cellular,16,apr,185.0,1.0,,,failure,no
30.0,management,married,tertiary,no,1476.0,yes,yes,unknown,3,jun,199.0,4.0,-1.0,0.0,unknown,no
59.0,blue-collar,married,secondary,no,0.0,yes,no,unknown,5,may,226.0,1.0,-1.0,0.0,unknown,no
35.0,management,single,tertiary,no,747.0,no,no,cellular,23,feb,141.0,2.0,,,failure,no
36.0,self-employed,married,tertiary,no,307.0,yes,no,cellular,14,may,341.0,1.0,,,other,no
39.0,technician,married,secondary,no,147.0,yes,no,cellular,6,may,151.0,2.0,-1.0,0.0,unknown,no
41.0,entrepreneur,married,tertiary,no,221.0,yes,no,unknown,14,may,57.0,2.0,-1.0,0.0,unknown,no
43.0,services,married,primary,no,-88.0,yes,yes,cellular,17,apr,313.0,1.0,,,failure,no
39.0,services,married,secondary,no,,yes,no,unknown,20,may,273.0,1.0,-1.0,0.0,unknown,no
43.0,admin.,married,secondary,no,264.0,yes,no,cellular,17,apr,113.0,2.0,-1.0,0.0,unknown,no
36.0,technician,married,tertiary,no,1109.0,no,no,cellular,13,aug,328.0,2.0,-1.0,0.0,unknown,no
20.0,student,single,secondary,no,502.0,no,no,cellular,30,apr,261.0,1.0,-1.0,0.0,unknown,yes
31.0,blue-collar,married,secondary,no,360.0,yes,yes,cellular,29,jan,89.0,1.0,,,failure,no
40.0,management,married,tertiary,no,194.0,no,yes,cellular,29,aug,189.0,2.0,-1.0,0.0,unknown,no
56.0,technician,married,secondary,no,,no,no,cellular,27,aug,239.0,5.0,-1.0,0.0,unknown,no
37.0,admin.,single,tertiary,no,2317.0,yes,no,cellular,20,apr,114.0,1.0,,,failure,no
25.0,blue-collar,single,primary,no,-221.0,yes,no,unknown,23,may,250.0,1.0,-1.0,0.0,unknown,no
31.0,services,married,secondary,no,132.0,no,no,cellular,7,jul,148.0,1.0,,,other,no
38.0,management,divorced,unknown,no,0.0,yes,no,cellular,18,nov,96.0,2.0,-1.0,0.0,unknown,no
42.0,management,divorced,tertiary,no,16.0,no,no,cellular,19,nov,140.0,3.0,-1.0,0.0,unknown,no
44.0,services,single,secondary,no,106.0,no,no,unknown,12,jun,109.0,2.0,-1.0,0.0,unknown,no
44.0,entrepreneur,married,secondary,no,93.0,no,no,cellular,7,jul,125.0,2.0,-1.0,0.0,unknown,no
26.0,housemaid,married,tertiary,no,543.0,no,no,cellular,30,jan,169.0,3.0,-1.0,0.0,unknown,no
41.0,management,married,tertiary,no,,no,no,cellular,20,nov,182.0,2.0,-1.0,0.0,unknown,no
55.0,blue-collar,married,primary,no,627.0,yes,no,unknown,5,may,247.0,1.0,-1.0,0.0,unknown,no
67.0,retired,married,unknown,no,696.0,no,no,telephone,17,aug,119.0,1.0,,,failure,no
56.0,self-employed,married,secondary,no,784.0,no,yes,cellular,30,jul,149.0,2.0,-1.0,0.0,unknown,no
53.0,admin.,married,secondary,no,105.0,no,yes,cellular,21,aug,74.0,2.0,-1.0,0.0,unknown,no
68.0,retired,divorced,secondary,no,,no,no,telephone,14,jul,,2.0,-1.0,0.0,unknown,yes
31.0,technician,married,secondary,no,171.0,no,no,cellular,27,aug,81.0,3.0,-1.0,0.0,unknown,no
59.0,management,married,secondary,no,42.0,no,no,cellular,21,nov,40.0,1.0,-1.0,0.0,unknown,no
32.0,management,single,tertiary,no,2536.0,yes,no,cellular,26,aug,,6.0,-1.0,0.0,unknown,yes
49.0,technician,married,tertiary,no,1235.0,no,no,cellular,13,aug,354.0,3.0,-1.0,0.0,unknown,yes
42.0,admin.,divorced,secondary,no,1811.0,yes,no,unknown,14,may,150.0,1.0,-1.0,0.0,unknown,no
,retired,divorced,primary,no,229.0,no,no,telephone,22,oct,97.0,1.0,-1.0,0.0,unknown,yes
32.0,blue-collar,married,secondary,no,2089.0,yes,no,cellular,14,nov,132.0,1.0,-1.0,0.0,unknown,yes
33.0,management,married,secondary,no,,yes,no,cellular,6,may,,1.0,,,failure,yes
23.0,services,single,tertiary,no,363.0,yes,no,unknown,30,may,16.0,,-1.0,0.0,unknown,no
38.0,management,single,tertiary,no,,yes,no,unknown,17,nov,609.0,2.0,,,failure,no
